,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
31,ROOFTOP,"Seksyen, 90, Jalan Cochrane, Cheras, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJB3uwzD02zDERHQMlA6UmnJU,MyTOWN Shopping Centre,3.134746,101.7230374,1,55100,OK,"establishment,point_of_interest,shopping_mall"
32,ROOFTOP,"201, Jalan Tun Sambanthan, Brickfields, 50470 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJBZVVtcFJzDERf66264rTSd8,NU Sentral,3.133192,101.687137,1,50470,OK,"establishment,point_of_interest,shopping_mall"
33,ROOFTOP,"Maju Junction Mall, 1001, Jalan Sultan Ismail, Chow Kit, 50250 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJezpiuy9IzDERWB2T1cJVZDo,Parkson Maju Junction Mall (Closed)[2],3.1597466,101.6974635,2,50250,OK,"establishment,food,point_of_interest,restaurant"
34,ROOFTOP,"168, Jalan Bukit Bintang, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJMdCXsCk2zDER0-ooNDiRUEA,Pavilion Kuala Lumpur,3.1488643,101.7134909,1,55100,OK,"establishment,point_of_interest,shopping_mall"
35,GEOMETRIC_CENTER,"Lot 1.01.35 & 1.01.36, Ground Floor Pearl Point Shopping Centre Jalan Klang Lama 58000 Kuala Lumpur MY, Jalan Klang Lama, 58200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",ChIJN0vXrodLzDER9vTQpG9pc_o,Pearl Point Shopping Centre,3.0847458,101.6733439,1,58200,OK,"establishment,point_of_interest,store"
36,,,,Pertama Complex,,,0,,ZERO_RESULTS,
37,GEOMETRIC_CENTER,"Jalan Sungai Besi, Taman Sungai Besi, 57100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJafTEUXNKzDERX3BdnK7j-ug,Plaza 63,3.09199,101.7004792,1,57100,OK,"establishment,point_of_interest,premise"
38,GEOMETRIC_CENTER,"Jalan Mega Kecil, Taman United, 58200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJaU-oFlBKzDERCpuSA8z_yfM,Plaza OUG,3.081898,101.671394,1,58200,OK,"establishment,food,grocery_or_supermarket,point_of_interest,premise,store,supermarket"
39,ROOFTOP,"2, Jalan 1/125e, Taman Desa Petaling, 57100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJ14mYXXdKzDERq3Rr43idU3k,Plaza Salak Park,3.082846,101.702362,1,57100,OK,"establishment,point_of_interest,shopping_mall"
40,GEOMETRIC_CENTER,"Publika, 1, Jalan Dutamas, Solaris Dutamas, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJCWgeGV5IzDERw2PRdobhgbI,Publika,3.1711896,101.6659172,1,50480,OK,premise
41,GEOMETRIC_CENTER,"Jalan Landak, Pudu, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJA0juDyQ2zDERbw5U5tplz0Y,Pudu Plaza,3.1373989,101.7137701,2,55100,OK,"establishment,point_of_interest,shopping_mall"
42,ROOFTOP,"1018, Jalan Sultan Ismail, Bandar Wawasan, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJcV4l1Sg2zDERF6kL6TW_TqA,Quill City Mall,3.1598674,101.700055,1,55100,OK,"establishment,point_of_interest,shopping_mall"
43,ROOFTOP,"67, Jalan Taman Ibu Kota, Taman Danau Kota, 53300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJL4BKORI4zDERB8t2wthEFkI,Setapak Central,3.2046409,101.7207633,1,53300,OK,"establishment,point_of_interest,shopping_mall"
44,ROOFTOP,"190, Jalan Tuanku Abdul Rahman, City Centre, 50100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJbUbW7y1IzDERi6WYVG8fI5c,Sogo Kuala Lumpur,3.156181,101.6953799,1,50100,OK,"department_store,establishment,point_of_interest,shopping_mall,store"
45,ROOFTOP,"181, Jalan Bukit Bintang, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJy1W23ys2zDERmNrv5_HwUQg,Starhill Gallery,3.1477734,101.713864,1,55100,OK,"establishment,point_of_interest,shopping_mall,store"
46,GEOMETRIC_CENTER,"009, Jalan Bukit Bintang, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJw_uZIyk2zDERHksxFNzcHb8,Sungei Wang Plaza,3.1447796,101.7109316,1,55100,OK,"establishment,point_of_interest,shopping_mall"
47,ROOFTOP,"Sunway Putra Mall, 100, Jalan Putra, Chow Kit, 50350 Kuala Lumpur, Malaysia",ChIJgapFpai1zTER5s2Kj3AyyeI,Sunway Putra Mall,3.16682,101.692485,1,50350,OK,"establishment,point_of_interest,shopping_mall"
48,GEOMETRIC_CENTER,"Lingkaran SV, Sunway Velocity, Jalan Cheras, 55100, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJwYo9AhQ2zDERokwJnyvbwhY,Sunway Velocity Mall,3.1274676,101.7245077,1,55100,OK,"establishment,point_of_interest,shopping_mall"
49,ROOFTOP,"Lot 241 Level 2 Suria, KLCC, Kuala Lumpur City Centre, 50088 Kuala Lumpur, Malaysia",ChIJH5xmLdE3zDERKa4a_IywVck,Suria KLCC,3.1579513,101.7116233,1,50088,OK,"establishment,point_of_interest,shopping_mall"
50,ROOFTOP,"Sb2 & Sb3 Sub Basement, 52100, No.3, Jalan 7A/62A, Bandar Menjalara, 52200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",ChIJy-syZR5GzDER_HEDIE0-f1E,Tesco Kepong Village Mall,3.193524,101.6335609,2,52200,OK,"establishment,point_of_interest,store"
51,ROOFTOP,"3101 PGA Boulevard, Palm Beach Gardens, FL 33410, USA",ChIJPXlx3pcq34gR4C2DoXJZUqc,The Gardens Mall,26.8485879,-80.0853187,1,33410,OK,"establishment,point_of_interest,shopping_mall"
52,ROOFTOP,"76, Jalan Raja Chulan, Kuala Lumpur, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJt1sEqio2zDERvuT9s395DhE,The Weld Mall,3.1510152,101.7068315,1,50450,OK,"establishment,point_of_interest,shopping_mall"
53,ROOFTOP,"LG, 85, Jalan Loke Yew, Taman Miharja, 55200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJLUhubBA2zDERwbX9kcRmkr4,Viva Home,3.123119,101.719234,1,55200,OK,"establishment,point_of_interest,shopping_mall"
54,ROOFTOP,"9, Jalan Wangsa Perdana 1, Wangsa Maju, 53300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJFW5WhS84zDERQC7gFWAr_7Y,Wangsa Walk Mall,3.1984176,101.742025,1,53300,OK,"establishment,point_of_interest,shopping_mall"
55,ROOFTOP,"1-01, 100, Jalan 4/91, Taman Shamelin Perkasa, 56100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJY1Zv3m82zDERcvJ69kHY4iw,1 Shamelin Shopping Centre,3.1220974,101.7400131,1,56100,OK,"establishment,point_of_interest,shopping_mall"
56,APPROXIMATE,"Financial Park, 87000 Labuan, Wilayah Persekutuan Labuan, Malaysia",ChIJGyOescQYIzIRhd8ZgfdWjII,Financial Park Labuan,5.275694,115.2486421,1,87000,OK,"political,sublocality,sublocality_level_1"
57,GEOMETRIC_CENTER,"Jalan Alamanda, Presint 1, 62000 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",ChIJRdkIxt_JzTERBh81g8-8zvk,Alamanda Shopping Centre,2.9395178,101.710625,1,62000,OK,"establishment,point_of_interest,shopping_mall"
58,GEOMETRIC_CENTER,"Lot G51 & G52, Ground Floor , Batu Pahat Mall, Jalan Kluang, 83000 Batu Pahat, Johor, Malaysia",ChIJvSc_pbFQ0DER0627YD-67RQ,Batu Pahat Mall,1.8642453,102.9629314,1,83000,OK,"establishment,point_of_interest,store"
59,ROOFTOP,"1201 Broadway, Saugus, MA 01906, USA",ChIJudr69F9y44kRcygDx9L4yAY,Square One Mall,42.4608341,-71.0274472,1,1906,OK,"establishment,point_of_interest,shopping_mall"
60,ROOFTOP,"88, Jalan Bakau Condong, Kampung Pegawai, 83000 Batu Pahat, Johor, Malaysia",ChIJp9hnB81W0DER_rYnnlBxPyc,The Summit Batu Pahat,1.8574785,102.9349764,1,83000,OK,"establishment,point_of_interest,shopping_mall"
61,ROOFTOP,"LOT S51, Aeon Bukit Indah Shopping Centre, 8, Jalan Indah 15/2, Taman Bukit Indah, 81200 Johor Bahru, Johor, Malaysia",ChIJt0xtwktz2jERRS2DKtCZfp0,ÆON Bukit Indah Shopping Centre,1.4817895,103.6556812,1,81200,OK,"electronics_store,establishment,home_goods_store,point_of_interest,shopping_mall,store"
62,ROOFTOP,"4, Jalan Pendidikan, Taman Universiti, 81300 Johor Bahru, Johor, Malaysia",ChIJWTczPA902jERgXy_vW9D17o,ÆON Taman Universiti Shopping Centre,1.542432,103.6292422,1,81300,OK,"establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket"
